"CONTROL_SOBOLEVSKY" "KIREEVSKY" "PESENNIKI" "RUSCORPORA" "RUSSKIE_PESNI" "SOBOLEVSKY"
"на" 2.10715179838104 2.08093879355383 1.78353286098216 1.2345454350828 1.45349362740667 2.13572831411388
"то" 0.938830009179671 0.952457501105172 0.776936232592231 0.490210770828204 0.437494350537829 1.09527957999954
"за" 0.9513477426354 1.04006751597476 0.923527974590765 0.404628608741262 0.509807466329205 0.854558793186455
"по" 1.21839272302428 1.21609130731825 0.938187148790618 0.309572999068712 0.627316279490193 1.12374576828141
"во" 1.07235249937411 1.11481734517542 1.02614219398974 0.166721973046168 0.235017626321974 1.08267039592838
"у" 1.00976383209547 0.739460675963509 0.718299535792817 0.217247026836083 0.397722136852572 0.81749543394698
"а" 0.596678628056413 0.686412410079171 0.674322013193257 0.414369667840589 0.497152671065715 0.811955034885409
"да" 1.0222815655512 0.561025599807097 0.351820180796482 0.185240689795438 0.289252463165507 0.902320854062068
"под" 0.216974046565968 0.28855041594663 0.224774004397752 0.214249777882444 0.198861068426286 0.277211001322054
"со" 0.358841692397563 0.429208696700559 0.425116051795749 0.102923388175853 0.224170658953268 0.488128262148758
"ко" 0.304598180756071 0.283727846320781 0.283410701197166 0.0498292638542481 0.144626231582753 0.302811465951382
